id_ecriture;date_ecriture;mois;centre_cout;code_site;compte_comptable;categorie_depense;fournisseur;montant;statut
1;2026-03-01;2026-03;CC001;SITE_PAR;623000;Marketing;Google Ads;3200;VALIDE
2;2026-03-02;2026-03;CC001;SITE_PAR;623000;Marketing;Meta Ads;2800;VALIDE
3;2026-03-03;2026-03;CC002;SITE_LYO;615000;IT;Microsoft Azure;4200;VALIDE
4;2026-03-04;2026-03;CC002;SITE_LYO;615000;IT;AWS;5100;VALIDE
5;2026-03-05;2026-03;CC003;SITE_MRS;624000;Logistique;DHL;3600;VALIDE
6;2026-03-06;2026-03;CC003;SITE_MRS;624000;Logistique;Chronopost;2400;VALIDE
7;2026-03-07;2026-03;CC004;SITE_PAR;625000;Commercial;Trainline Business;950;VALIDE
8;2026-03-08;2026-03;CC004;SITE_PAR;625000;Commercial;Booking Business;1450;VALIDE
9;2026-03-09;2026-03;CC005;SITE_LIL;622000;Finance;KPMG;3900;VALIDE
10;2026-03-10;2026-03;CC005;SITE_LIL;622000;Finance;Pennylane;800;VALIDE
11;2026-03-11;2026-03;CC006;SITE_BDX;628000;RH;Indeed;1200;VALIDE
12;2026-03-12;2026-03;CC006;SITE_BDX;628000;RH;LinkedIn Talent;1800;VALIDE
13;2026-03-13;2026-03;CC007;SITE_NTE;626000;Support client;Zendesk;2300;VALIDE
14;2026-03-14;2026-03;CC007;SITE_NTE;626000;Support client;Aircall;1600;VALIDE
15;2026-03-15;2026-03;CC001;SITE_PAR;623000;Marketing;Google Ads;3500;VALIDE
16;2026-03-16;2026-03;CC002;SITE_LYO;615000;IT;Datadog;1900;VALIDE
17;2026-03-17;2026-03;CC003;SITE_MRS;624000;Logistique;DHL;4100;VALIDE
18;2026-03-18;2026-03;CC004;SITE_PAR;625000;Commercial;Salesforce;2600;VALIDE
19;2026-03-19;2026-03;CC005;SITE_LIL;622000;Finance;KPMG;2100;EN_ATTENTE
20;2026-03-20;2026-03;CC006;SITE_BDX;628000;RH;Welcome to the Jungle;900;VALIDE
21;2026-03-21;2026-03;CC001;SITE_PAR;623000;Marketing;Canva Teams;650;VALIDE
22;2026-03-22;2026-03;CC002;SITE_LYO;615000;IT;GitHub;700;VALIDE
23;2026-03-23;2026-03;CC003;SITE_MRS;624000;Logistique;UPS;1800;VALIDE
24;2026-03-24;2026-03;CC004;SITE_PAR;625000;Commercial;HubSpot;2100;VALIDE
25;2026-03-25;2026-03;CC999;SITE_PAR;623000;Marketing;Google Ads;1200;VALIDE
26;2026-03-26;2026-03;CC002;SITE_UNKNOWN;615000;IT;AWS;1300;VALIDE
27;2026-03-27;2026-03;CC005;SITE_LIL;622000;Finance;Cabinet Audit Plus;-500;VALIDE
28;2026-03-28;2026-03;CC003;SITE_MRS;624000;Logistique;DHL;4100;VALIDE
29;2026-03-29;2026-03;CC006;SITE_BDX;628000;RH;Indeed;750;ANNULE
30;2026-03-30;2026-03;CC007;SITE_NTE;626000;Support client;Zendesk;2300;VALIDE
